,日期,收盘价(元)
0,20080102,-1.0
1,20080103,-1.0
2,20080104,-1.0
3,20080107,-1.0
4,20080108,-1.0
5,20080109,-1.0
6,20080110,-1.0
7,20080111,-1.0
8,20080114,-1.0
9,20080115,-1.0
10,20080116,-1.0
11,20080117,-1.0
12,20080118,-1.0
13,20080121,-1.0
14,20080122,-1.0
15,20080123,-1.0
16,20080124,-1.0
17,20080125,-1.0
18,20080128,-1.0
19,20080129,-1.0
20,20080130,-1.0
21,20080131,-1.0
22,20080201,-1.0
23,20080204,-1.0
24,20080205,-1.0
25,20080213,-1.0
26,20080214,-1.0
27,20080215,-1.0
28,20080218,-1.0
29,20080219,-1.0
30,20080220,-1.0
31,20080221,-1.0
32,20080222,-1.0
33,20080225,-1.0
34,20080226,-1.0
35,20080227,-1.0
36,20080228,-1.0
37,20080229,-1.0
38,20080303,-1.0
39,20080304,-1.0
40,20080305,-1.0
41,20080306,-1.0
42,20080307,-1.0
43,20080310,-1.0
44,20080311,-1.0
45,20080312,-1.0
46,20080313,-1.0
47,20080314,-1.0
48,20080317,-1.0
49,20080318,-1.0
50,20080319,-1.0
51,20080320,-1.0
52,20080321,-1.0
53,20080324,-1.0
54,20080325,-1.0
55,20080326,-1.0
56,20080327,-1.0
57,20080328,-1.0
58,20080331,-1.0
59,20080401,-1.0
60,20080402,-1.0
61,20080403,-1.0
62,20080407,-1.0
63,20080408,-1.0
64,20080409,-1.0
65,20080410,-1.0
66,20080411,-1.0
67,20080414,-1.0
68,20080415,-1.0
69,20080416,-1.0
70,20080417,-1.0
71,20080418,-1.0
72,20080421,-1.0
73,20080422,-1.0
74,20080423,-1.0
75,20080424,-1.0
76,20080425,-1.0
77,20080428,-1.0
78,20080429,-1.0
79,20080430,-1.0
80,20080505,-1.0
81,20080506,-1.0
82,20080507,-1.0
83,20080508,-1.0
84,20080509,-1.0
85,20080512,-1.0
86,20080513,-1.0
87,20080514,-1.0
88,20080515,-1.0
89,20080516,-1.0
90,20080519,-1.0
91,20080520,-1.0
92,20080521,-1.0
93,20080522,-1.0
94,20080523,-1.0
95,20080526,-1.0
96,20080527,-1.0
97,20080528,-1.0
98,20080529,-1.0
99,20080530,-1.0
100,20080602,-1.0
101,20080603,-1.0
102,20080604,-1.0
103,20080605,-1.0
104,20080606,-1.0
105,20080610,-1.0
106,20080611,-1.0
107,20080612,-1.0
108,20080613,-1.0
109,20080616,-1.0
110,20080617,-1.0
111,20080618,-1.0
112,20080619,-1.0
113,20080620,-1.0
114,20080623,-1.0
115,20080624,-1.0
116,20080625,-1.0
117,20080626,-1.0
118,20080627,-1.0
119,20080630,-1.0
